
19-04-2016 21:16:47:670 - D: 	Executing bot with following commands ../Reference Bot\Reference\bin\Debug\Reference.exe B "C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Replays\2099624094\12\B"
19-04-2016 21:16:47:670 - I: 	Executing process ../Reference Bot\Reference\bin\Debug\Reference.exe B "C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Replays\2099624094\12\B"
19-04-2016 21:16:47:679 - I: 	Bot has 4000ms to run before it will be forcefully killed
19-04-2016 21:16:47:902 - I: 	Output from bot: *********************
19-04-2016 21:16:47:902 - I: 	Output from bot: *   ### # # # ##    *
19-04-2016 21:16:47:902 - I: 	Output from bot: * * *#* *#*#* *#* * *
19-04-2016 21:16:47:902 - I: 	Output from bot: *               #   *
19-04-2016 21:16:47:902 - I: 	Output from bot: *#* * * * * * * * *#*
19-04-2016 21:16:47:902 - I: 	Output from bot: *#   # #     # # D #*
19-04-2016 21:16:47:902 - I: 	Output from bot: * *A* *#*#*#*#* * * *
19-04-2016 21:16:47:902 - I: 	Output from bot: * #  #### # ####  # *
19-04-2016 21:16:47:902 - I: 	Output from bot: * *#* *#*#*#*#* *#* *
19-04-2016 21:16:47:902 - I: 	Output from bot: * #    #######    # *
19-04-2016 21:16:47:902 - I: 	Output from bot: *#* * *#*#.#*#* * *#*
19-04-2016 21:16:47:902 - I: 	Output from bot: * #    ###..##    # *
19-04-2016 21:16:47:903 - I: 	Output from bot: * *#* *#*#*.*#* *#* *
19-04-2016 21:16:47:903 - I: 	Output from bot: * #  #### #...##  # *
19-04-2016 21:16:47:903 - I: 	Output from bot: * * * *#*#*#*.* * * *
19-04-2016 21:16:47:903 - I: 	Output from bot: *# C # #     ....B #*
19-04-2016 21:16:47:903 - I: 	Output from bot: *#* * * * * * * * *#*
19-04-2016 21:16:47:903 - I: 	Output from bot: *               #   *
19-04-2016 21:16:47:903 - I: 	Output from bot: * * *#* *#*#* *#* * *
19-04-2016 21:16:47:903 - I: 	Output from bot: *   ### # # # ##    *
19-04-2016 21:16:47:903 - I: 	Output from bot: *********************
19-04-2016 21:16:47:904 - I: 	Output from bot: Executing move command
19-04-2016 21:16:47:904 - I: 	Output from bot: Sending Back command MoveLeft
19-04-2016 21:16:47:906 - E: 	Output from bot: 
19-04-2016 21:16:47:906 - I: 	Output from bot: 
19-04-2016 21:16:47:907 - I: 	Your bots total execution time was 00:00:00.2377476
