
19-04-2016 21:16:50:103 - D: 	Executing bot with following commands ../Reference Bot\Reference\bin\Debug\Reference.exe C "C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Replays\2099624094\14\C"
19-04-2016 21:16:50:103 - I: 	Executing process ../Reference Bot\Reference\bin\Debug\Reference.exe C "C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Replays\2099624094\14\C"
19-04-2016 21:16:50:111 - I: 	Bot has 4000ms to run before it will be forcefully killed
19-04-2016 21:16:50:319 - I: 	Output from bot: *********************
19-04-2016 21:16:50:319 - I: 	Output from bot: *   ### # # # ##    *
19-04-2016 21:16:50:319 - I: 	Output from bot: * * *#* *#*#* *#* * *
19-04-2016 21:16:50:319 - I: 	Output from bot: *                   *
19-04-2016 21:16:50:319 - I: 	Output from bot: *#* * * * * * * * *#*
19-04-2016 21:16:50:319 - I: 	Output from bot: *#   # #     # #D  #*
19-04-2016 21:16:50:319 - I: 	Output from bot: * * * *#*#*#*#* * * *
19-04-2016 21:16:50:319 - I: 	Output from bot: * #A #### # ####  # *
19-04-2016 21:16:50:319 - I: 	Output from bot: * *#* *#*#*#*#* *#* *
19-04-2016 21:16:50:319 - I: 	Output from bot: * #    #######    # *
19-04-2016 21:16:50:319 - I: 	Output from bot: *#* * *#*# #*#* * *#*
19-04-2016 21:16:50:319 - I: 	Output from bot: * #    #######    # *
19-04-2016 21:16:50:320 - I: 	Output from bot: * *#* *#*#*#*#* *#* *
19-04-2016 21:16:50:320 - I: 	Output from bot: * #  #### # ####  # *
19-04-2016 21:16:50:320 - I: 	Output from bot: * * * *#*#*#*#* * * *
19-04-2016 21:16:50:320 - I: 	Output from bot: *#   # #     # #B  #*
19-04-2016 21:16:50:320 - I: 	Output from bot: *#* * * * * * * * *#*
19-04-2016 21:16:50:320 - I: 	Output from bot: *  C.               *
19-04-2016 21:16:50:320 - I: 	Output from bot: * * *#* *#*#* *#* * *
19-04-2016 21:16:50:320 - I: 	Output from bot: *   ### # # # ##    *
19-04-2016 21:16:50:320 - I: 	Output from bot: *********************
19-04-2016 21:16:50:321 - I: 	Output from bot: Executing move command
19-04-2016 21:16:50:321 - I: 	Output from bot: Sending Back command MoveRight
19-04-2016 21:16:50:323 - E: 	Output from bot: 
19-04-2016 21:16:50:323 - I: 	Output from bot: 
19-04-2016 21:16:50:325 - I: 	Your bots total execution time was 00:00:00.2224485
