
19-04-2016 21:18:48:095 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:5, Y:18, Key:A)
19-04-2016 21:18:48:317 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:2, Y:16, Key:D)
19-04-2016 21:18:48:317 - D: 	Beginning round processing
19-04-2016 21:18:48:317 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:48:317 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:48:317 - D: 	Detonating Bombs
19-04-2016 21:18:48:317 - I: 	Detonating Bomb BombEntity(X:6, Y:19, Radius:16, Timer:0, Owner:A)
19-04-2016 21:18:48:317 - D: 	Processing Player Commands
19-04-2016 21:18:48:317 - D: 	Applying player power ups
19-04-2016 21:18:48:317 - D: 	Destroying marked entities
19-04-2016 21:18:48:317 - D: 	Destroyed Entity DestructibleWallEntity(X:6, Y:3)
19-04-2016 21:18:48:317 - D: 	Destroyed Entity DestructibleWallEntity(X:6, Y:20)
19-04-2016 21:18:48:317 - I: 	Player PlayerEntity(X:4, Y:18, Key:A) has a movement coverage of 22,42% for the map
19-04-2016 21:18:48:317 - I: 	Player PlayerEntity(X:2, Y:16, Key:D) has a movement coverage of 24,56% for the map
19-04-2016 21:18:48:317 - D: 	Round processing complete
