
19-04-2016 21:19:03:775 - D: 	Executing bot with following commands ../Reference Bot\Reference\bin\Debug\Reference.exe D "C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Replays\2099624094\198\D"
19-04-2016 21:19:03:775 - I: 	Executing process ../Reference Bot\Reference\bin\Debug\Reference.exe D "C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Replays\2099624094\198\D"
19-04-2016 21:19:03:783 - I: 	Bot has 4000ms to run before it will be forcefully killed
19-04-2016 21:19:04:068 - I: 	Output from bot: *********************
19-04-2016 21:19:04:068 - I: 	Output from bot: *  .......# # ##    *
19-04-2016 21:19:04:068 - I: 	Output from bot: * *.* * *.* * *#* * *
19-04-2016 21:19:04:068 - I: 	Output from bot: *...     .          *
19-04-2016 21:19:04:068 - I: 	Output from bot: *.* * * *.* * * * *#*
19-04-2016 21:19:04:068 - I: 	Output from bot: *.       .         #*
19-04-2016 21:19:04:068 - I: 	Output from bot: *.* * *#*.* * * * * *
19-04-2016 21:19:04:068 - I: 	Output from bot: *.    D.#...        *
19-04-2016 21:19:04:068 - I: 	Output from bot: *.* * *.*#*.* * *#* *
19-04-2016 21:19:04:068 - I: 	Output from bot: *.#    .....        *
19-04-2016 21:19:04:069 - I: 	Output from bot: *.* * * *   * * * *#*
19-04-2016 21:19:04:069 - I: 	Output from bot: *.          #       *
19-04-2016 21:19:04:069 - I: 	Output from bot: *.* * * * * * * * * *
19-04-2016 21:19:04:069 - I: 	Output from bot: *.   A              *
19-04-2016 21:19:04:069 - I: 	Output from bot: *.* * * * * * * * * *
19-04-2016 21:19:04:069 - I: 	Output from bot: *.                  *
19-04-2016 21:19:04:069 - I: 	Output from bot: *.* * * * * * * * *#*
19-04-2016 21:19:04:069 - I: 	Output from bot: *.                  *
19-04-2016 21:19:04:069 - I: 	Output from bot: *.* * * * * * *#* * *
19-04-2016 21:19:04:069 - I: 	Output from bot: *.....# # # # ##    *
19-04-2016 21:19:04:069 - I: 	Output from bot: *********************
19-04-2016 21:19:04:070 - I: 	Output from bot: Executing place bomb command
19-04-2016 21:19:04:070 - I: 	Output from bot: Sending Back command PlaceBomb
19-04-2016 21:19:04:072 - I: 	Output from bot: 
19-04-2016 21:19:04:072 - E: 	Output from bot: 
19-04-2016 21:19:04:073 - I: 	Your bots total execution time was 00:00:00.2986009
