
19-04-2016 21:16:57:564 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:4, Y:5, Key:A)
19-04-2016 21:16:57:794 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:17, Y:14, Key:B)
19-04-2016 21:16:58:096 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:6, Y:16, Key:C)
19-04-2016 21:16:58:337 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:16, Y:4, Key:D)
19-04-2016 21:16:58:337 - D: 	Beginning round processing
19-04-2016 21:16:58:337 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:58:337 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:58:337 - D: 	Detonating Bombs
19-04-2016 21:16:58:337 - D: 	Processing Player Commands
19-04-2016 21:16:58:337 - D: 	Applying player power ups
19-04-2016 21:16:58:337 - D: 	Destroying marked entities
19-04-2016 21:16:58:337 - I: 	Player PlayerEntity(X:4, Y:4, Key:A) has a movement coverage of 3,56% for the map
19-04-2016 21:16:58:337 - I: 	Player PlayerEntity(X:17, Y:14, Key:B) has a movement coverage of 4,63% for the map
19-04-2016 21:16:58:337 - I: 	Player PlayerEntity(X:7, Y:16, Key:C) has a movement coverage of 4,98% for the map
19-04-2016 21:16:58:337 - I: 	Player PlayerEntity(X:16, Y:5, Key:D) has a movement coverage of 4,63% for the map
19-04-2016 21:16:58:337 - D: 	Round processing complete
