
19-04-2016 21:19:10:658 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:3, Y:18, Key:A)
19-04-2016 21:19:10:883 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:3, Y:12, Key:D)
19-04-2016 21:19:10:883 - D: 	Beginning round processing
19-04-2016 21:19:10:883 - D: 	Removing Bomb Explosions from map
19-04-2016 21:19:10:883 - D: 	Decreasing Bomb Timers
19-04-2016 21:19:10:883 - D: 	Detonating Bombs
19-04-2016 21:19:10:883 - I: 	Detonating Bomb BombEntity(X:4, Y:10, Radius:32, Timer:0, Owner:D)
19-04-2016 21:19:10:883 - D: 	Processing Player Commands
19-04-2016 21:19:10:883 - D: 	Applying player power ups
19-04-2016 21:19:10:883 - D: 	Destroying marked entities
19-04-2016 21:19:10:883 - D: 	Destroyed Entity DestructibleWallEntity(X:3, Y:10)
19-04-2016 21:19:10:883 - D: 	Destroyed Entity DestructibleWallEntity(X:9, Y:10)
19-04-2016 21:19:10:883 - I: 	Player PlayerEntity(X:3, Y:18, Key:A) has a movement coverage of 24,56% for the map
19-04-2016 21:19:10:883 - I: 	Player PlayerEntity(X:2, Y:12, Key:D) has a movement coverage of 31,32% for the map
19-04-2016 21:19:10:883 - D: 	Round processing complete
