
19-04-2016 21:16:44:117 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:5, Y:6, Key:A)
19-04-2016 21:16:44:347 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:18, Y:18, Key:B)
19-04-2016 21:16:44:695 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:5, Y:16, Key:C)
19-04-2016 21:16:44:925 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:18, Y:4, Key:D)
19-04-2016 21:16:44:925 - D: 	Beginning round processing
19-04-2016 21:16:44:925 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:44:925 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:44:925 - D: 	Detonating Bombs
19-04-2016 21:16:44:925 - D: 	Processing Player Commands
19-04-2016 21:16:44:925 - D: 	Applying player power ups
19-04-2016 21:16:44:925 - D: 	Destroying marked entities
19-04-2016 21:16:44:926 - I: 	Player PlayerEntity(X:5, Y:6, Key:A) has a movement coverage of 2,85% for the map
19-04-2016 21:16:44:926 - I: 	Player PlayerEntity(X:18, Y:18, Key:B) has a movement coverage of 2,49% for the map
19-04-2016 21:16:44:926 - I: 	Player PlayerEntity(X:5, Y:16, Key:C) has a movement coverage of 2,85% for the map
19-04-2016 21:16:44:926 - I: 	Player PlayerEntity(X:18, Y:4, Key:D) has a movement coverage of 2,49% for the map
19-04-2016 21:16:44:926 - D: 	Round processing complete
