
25-04-2016 21:16:22:942 - I: 	Executing process C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Calibrations\BotCalibrationDotNet.exe D "C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Replays\2117776905\0\D"
25-04-2016 21:16:23:013 - I: 	Bot calibration complete and can run an additional 71ms due to environment startup
25-04-2016 21:16:23:013 - D: 	Executing bot with following commands ../Reference Bot\Reference\bin\Debug\Reference.exe D "C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Replays\2117776905\0\D"
25-04-2016 21:16:23:013 - I: 	Executing process ../Reference Bot\Reference\bin\Debug\Reference.exe D "C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Replays\2117776905\0\D"
25-04-2016 21:16:23:022 - I: 	Bot has 4000ms to run before it will be forcefully killed
25-04-2016 21:16:23:224 - I: 	Output from bot: *********************
25-04-2016 21:16:23:224 - I: 	Output from bot: *A  ###  ###  ###..D*
25-04-2016 21:16:23:224 - I: 	Output from bot: * *#* * *#*#* * *.* *
25-04-2016 21:16:23:224 - I: 	Output from bot: *  ## ##     ##...  *
25-04-2016 21:16:23:224 - I: 	Output from bot: *#* *#* * * * *.* *#*
25-04-2016 21:16:23:224 - I: 	Output from bot: *#   #         .   #*
25-04-2016 21:16:23:224 - I: 	Output from bot: *#* * * * * * *.* *#*
25-04-2016 21:16:23:224 - I: 	Output from bot: *   ### #   # #.#   *
25-04-2016 21:16:23:224 - I: 	Output from bot: *#*#*#*#*#*#*#*.*#*#*
25-04-2016 21:16:23:224 - I: 	Output from bot: *##   # ##......  ##*
25-04-2016 21:16:23:224 - I: 	Output from bot: *#*#* *#*#.#*#* *#*#*
25-04-2016 21:16:23:225 - I: 	Output from bot: *##   # ##### #   ##*
25-04-2016 21:16:23:225 - I: 	Output from bot: *#*#*#*#*#*#*#*#*#*#*
25-04-2016 21:16:23:225 - I: 	Output from bot: *   ### #   # ###   *
25-04-2016 21:16:23:225 - I: 	Output from bot: *#* * * * * * * * *#*
25-04-2016 21:16:23:225 - I: 	Output from bot: *#   #         #   #*
25-04-2016 21:16:23:225 - I: 	Output from bot: *#* *#* * * * *#* *#*
25-04-2016 21:16:23:225 - I: 	Output from bot: *  ## ##     ## ##  *
25-04-2016 21:16:23:225 - I: 	Output from bot: * *#* * *#*#* * *#* *
25-04-2016 21:16:23:225 - I: 	Output from bot: *C  ###  ###  ###  B*
25-04-2016 21:16:23:225 - I: 	Output from bot: *********************
25-04-2016 21:16:23:225 - I: 	Output from bot: Executing move command
25-04-2016 21:16:23:226 - I: 	Output from bot: Sending Back command MoveLeft
25-04-2016 21:16:23:228 - E: 	Output from bot: 
25-04-2016 21:16:23:228 - I: 	Output from bot: 
25-04-2016 21:16:23:229 - I: 	Your bots total execution time was 00:00:00.2157969
