
25-04-2016 21:16:23:598 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:3, Key:A)
25-04-2016 21:16:23:842 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:19, Y:20, Key:B)
25-04-2016 21:16:24:066 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:2, Y:19, Key:C)
25-04-2016 21:16:24:299 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:19, Y:2, Key:D)
25-04-2016 21:16:24:299 - D: 	Beginning round processing
25-04-2016 21:16:24:299 - D: 	Removing Bomb Explosions from map
25-04-2016 21:16:24:299 - D: 	Decreasing Bomb Timers
25-04-2016 21:16:24:299 - D: 	Detonating Bombs
25-04-2016 21:16:24:299 - D: 	Processing Player Commands
25-04-2016 21:16:24:299 - D: 	Applying player power ups
25-04-2016 21:16:24:299 - D: 	Destroying marked entities
25-04-2016 21:16:24:299 - I: 	Player PlayerEntity(X:2, Y:4, Key:A) has a movement coverage of 1,07% for the map
25-04-2016 21:16:24:299 - I: 	Player PlayerEntity(X:18, Y:20, Key:B) has a movement coverage of 1,07% for the map
25-04-2016 21:16:24:299 - I: 	Player PlayerEntity(X:2, Y:18, Key:C) has a movement coverage of 1,07% for the map
25-04-2016 21:16:24:299 - I: 	Player PlayerEntity(X:18, Y:2, Key:D) has a movement coverage of 1,07% for the map
25-04-2016 21:16:24:299 - D: 	Round processing complete
