
16-04-2016 22:11:08:020 - I: 	Executing process C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Calibrations\BotCalibrationDotNet.exe B "C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Replays\32735501\0\B"
16-04-2016 22:11:08:089 - I: 	Bot calibration complete and can run an additional 68ms due to environment startup
16-04-2016 22:11:08:089 - D: 	Executing bot with following commands ../Reference Bot\Reference\bin\Debug\Reference.exe B "C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Replays\32735501\0\B"
16-04-2016 22:11:08:089 - I: 	Executing process ../Reference Bot\Reference\bin\Debug\Reference.exe B "C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Replays\32735501\0\B"
16-04-2016 22:11:08:098 - I: 	Bot has 4000ms to run before it will be forcefully killed
16-04-2016 22:11:08:320 - I: 	Output from bot: *********************
16-04-2016 22:11:08:320 - I: 	Output from bot: *A  ####  #  ####  D*
16-04-2016 22:11:08:320 - I: 	Output from bot: * * *#*#* * *#*#* * *
16-04-2016 22:11:08:320 - I: 	Output from bot: *       ## ##       *
16-04-2016 22:11:08:321 - I: 	Output from bot: *#*#* * * * * * *#*#*
16-04-2016 22:11:08:321 - I: 	Output from bot: *# ##  ##   ##  ## #*
16-04-2016 22:11:08:321 - I: 	Output from bot: * * *#*#* * *#*#* * *
16-04-2016 22:11:08:321 - I: 	Output from bot: *  #    #   #    #  *
16-04-2016 22:11:08:321 - I: 	Output from bot: * * * * *#*#* * * * *
16-04-2016 22:11:08:321 - I: 	Output from bot: *# ###  #####  ### #*
16-04-2016 22:11:08:321 - I: 	Output from bot: *#*#* * *#.#* * *#*#*
16-04-2016 22:11:08:321 - I: 	Output from bot: *# ###  ##..#  ### #*
16-04-2016 22:11:08:321 - I: 	Output from bot: * * * * *#*.* * * * *
16-04-2016 22:11:08:321 - I: 	Output from bot: *  #    #  ..... #  *
16-04-2016 22:11:08:321 - I: 	Output from bot: * * *#*#* * *#*.* * *
16-04-2016 22:11:08:321 - I: 	Output from bot: *# ##  ##   ## ... #*
16-04-2016 22:11:08:321 - I: 	Output from bot: *#*#* * * * * * *.*#*
16-04-2016 22:11:08:321 - I: 	Output from bot: *       ## ##    .  *
16-04-2016 22:11:08:321 - I: 	Output from bot: * * *#*#* * *#*#*.* *
16-04-2016 22:11:08:321 - I: 	Output from bot: *C  ####  #  ####..B*
16-04-2016 22:11:08:321 - I: 	Output from bot: *********************
16-04-2016 22:11:08:322 - I: 	Output from bot: Executing move command
16-04-2016 22:11:08:322 - I: 	Output from bot: Sending Back command MoveLeft
16-04-2016 22:11:08:325 - I: 	Output from bot: 
16-04-2016 22:11:08:325 - E: 	Output from bot: 
16-04-2016 22:11:08:327 - I: 	Your bots total execution time was 00:00:00.2376715
