
16-04-2016 22:11:08:333 - I: 	Executing process C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Calibrations\BotCalibrationDotNet.exe C "C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Replays\32735501\0\C"
16-04-2016 22:11:08:405 - I: 	Bot calibration complete and can run an additional 71ms due to environment startup
16-04-2016 22:11:08:405 - D: 	Executing bot with following commands ../Reference Bot\Reference\bin\Debug\Reference.exe C "C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Replays\32735501\0\C"
16-04-2016 22:11:08:405 - I: 	Executing process ../Reference Bot\Reference\bin\Debug\Reference.exe C "C:\Kobus\Werk\Entelect\Game Engine v1.1.0\Game Engine\Replays\32735501\0\C"
16-04-2016 22:11:08:414 - I: 	Bot has 4000ms to run before it will be forcefully killed
16-04-2016 22:11:08:638 - I: 	Output from bot: *********************
16-04-2016 22:11:08:638 - I: 	Output from bot: *A  ####  #  ####  D*
16-04-2016 22:11:08:638 - I: 	Output from bot: * * *#*#* * *#*#* * *
16-04-2016 22:11:08:638 - I: 	Output from bot: *       ## ##       *
16-04-2016 22:11:08:638 - I: 	Output from bot: *#*#* * * * * * *#*#*
16-04-2016 22:11:08:638 - I: 	Output from bot: *# ##  ##   ##  ## #*
16-04-2016 22:11:08:638 - I: 	Output from bot: * * *#*#* * *#*#* * *
16-04-2016 22:11:08:638 - I: 	Output from bot: *  #    #   #    #  *
16-04-2016 22:11:08:638 - I: 	Output from bot: * * * * *#*#* * * * *
16-04-2016 22:11:08:638 - I: 	Output from bot: *# ###  #####  ### #*
16-04-2016 22:11:08:638 - I: 	Output from bot: *#*#* * *..#* * *#*#*
16-04-2016 22:11:08:638 - I: 	Output from bot: *# ###  #.###  ### #*
16-04-2016 22:11:08:638 - I: 	Output from bot: * * * * *.*#* * * * *
16-04-2016 22:11:08:638 - I: 	Output from bot: *  # .....  #    #  *
16-04-2016 22:11:08:638 - I: 	Output from bot: * * *.*#* * *#*#* * *
16-04-2016 22:11:08:638 - I: 	Output from bot: *# ... ##   ##  ## #*
16-04-2016 22:11:08:638 - I: 	Output from bot: *#*.* * * * * * *#*#*
16-04-2016 22:11:08:638 - I: 	Output from bot: *...    ## ##       *
16-04-2016 22:11:08:638 - I: 	Output from bot: *.* *#*#* * *#*#* * *
16-04-2016 22:11:08:638 - I: 	Output from bot: *C  ####  #  ####  B*
16-04-2016 22:11:08:638 - I: 	Output from bot: *********************
16-04-2016 22:11:08:640 - I: 	Output from bot: Executing move command
16-04-2016 22:11:08:640 - I: 	Output from bot: Sending Back command MoveUp
16-04-2016 22:11:08:643 - E: 	Output from bot: 
16-04-2016 22:11:08:643 - I: 	Output from bot: 
16-04-2016 22:11:08:644 - I: 	Your bots total execution time was 00:00:00.2387918
